date,day_of_week,meal_type,is_exam_period,active_leaves,current_occupancy,actual_count,prep_count,waste_kg
2026-03-30,Monday,Breakfast,0,14,486,397,445,16.8
2026-03-30,Monday,Lunch,0,14,486,416,443,9.4
2026-03-30,Monday,Dinner,0,14,486,440,464,8.4
2026-03-31,Tuesday,Breakfast,0,13,487,409,458,17.1
2026-03-31,Tuesday,Lunch,0,13,487,423,451,9.8
2026-03-31,Tuesday,Dinner,0,13,487,443,473,10.5
2026-04-01,Wednesday,Breakfast,0,13,487,380,415,12.2
2026-04-01,Wednesday,Lunch,0,13,487,436,463,9.4
2026-04-01,Wednesday,Dinner,0,13,487,423,456,11.5
2026-04-02,Thursday,Breakfast,0,7,493,382,431,17.1
2026-04-02,Thursday,Lunch,0,7,493,434,481,16.4
2026-04-02,Thursday,Dinner,0,7,493,429,452,8.0
2026-04-03,Friday,Breakfast,0,5,495,409,432,8.0
2026-04-03,Friday,Lunch,0,5,495,429,454,8.8
2026-04-03,Friday,Dinner,0,5,495,454,507,18.5
2026-04-04,Saturday,Breakfast,0,33,467,269,295,9.1
2026-04-04,Saturday,Lunch,0,33,467,344,371,9.4
2026-04-04,Saturday,Dinner,0,33,467,291,320,10.1
2026-04-05,Sunday,Breakfast,0,32,468,273,313,14.0
2026-04-05,Sunday,Lunch,0,32,468,339,387,16.8
2026-04-05,Sunday,Dinner,0,32,468,313,331,6.3
2026-04-06,Monday,Breakfast,0,5,495,390,420,10.5
2026-04-06,Monday,Lunch,0,5,495,430,463,11.5
2026-04-06,Monday,Dinner,0,5,495,456,503,16.4
2026-04-07,Tuesday,Breakfast,0,13,487,395,417,7.7
2026-04-07,Tuesday,Lunch,0,13,487,434,487,18.5
2026-04-07,Tuesday,Dinner,0,13,487,447,503,19.6
2026-04-08,Wednesday,Breakfast,0,10,490,395,419,8.4
2026-04-08,Wednesday,Lunch,0,10,490,434,470,12.6
2026-04-08,Wednesday,Dinner,0,10,490,450,475,8.8
2026-04-09,Thursday,Breakfast,0,5,495,393,441,16.8
2026-04-09,Thursday,Lunch,0,5,495,443,486,15.0
2026-04-09,Thursday,Dinner,0,5,495,448,475,9.4
2026-04-10,Friday,Breakfast,1,17,483,428,473,15.7
2026-04-10,Friday,Lunch,1,17,483,448,493,15.7
2026-04-10,Friday,Dinner,1,17,483,474,517,15.0
2026-04-11,Saturday,Breakfast,1,40,460,286,309,8.0
2026-04-11,Saturday,Lunch,1,40,460,363,390,9.4
2026-04-11,Saturday,Dinner,1,40,460,322,351,10.1
2026-04-12,Sunday,Breakfast,1,35,465,300,317,5.9
2026-04-12,Sunday,Lunch,1,35,465,349,398,17.1
2026-04-12,Sunday,Dinner,1,35,465,320,361,14.3
2026-04-13,Monday,Breakfast,1,17,483,423,478,19.2
2026-04-13,Monday,Lunch,1,17,483,462,526,22.4
2026-04-13,Monday,Dinner,1,17,483,460,497,12.9
2026-04-14,Tuesday,Breakfast,1,10,490,422,461,13.6
2026-04-14,Tuesday,Lunch,1,10,490,458,481,8.0
2026-04-14,Tuesday,Dinner,1,10,490,468,515,16.4
2026-04-15,Wednesday,Breakfast,1,3,497,428,454,9.1
2026-04-15,Wednesday,Lunch,1,3,497,466,504,13.3
2026-04-15,Wednesday,Dinner,1,3,497,470,517,16.4
2026-04-16,Thursday,Breakfast,1,6,494,443,508,22.8
2026-04-16,Thursday,Lunch,1,6,494,440,474,11.9
2026-04-16,Thursday,Dinner,1,6,494,469,494,8.8
2026-04-17,Friday,Breakfast,1,12,488,449,473,8.4
2026-04-17,Friday,Lunch,1,12,488,458,491,11.5
2026-04-17,Friday,Dinner,1,12,488,461,490,10.1
2026-04-18,Saturday,Breakfast,1,42,458,288,309,7.3
2026-04-18,Saturday,Lunch,1,42,458,364,390,9.1
2026-04-18,Saturday,Dinner,1,42,458,328,368,14.0
2026-04-19,Sunday,Breakfast,1,48,452,270,300,10.5
2026-04-19,Sunday,Lunch,1,48,452,339,384,15.7
2026-04-19,Sunday,Dinner,1,48,452,317,343,9.1
2026-04-20,Monday,Breakfast,1,22,478,424,445,7.3
2026-04-20,Monday,Lunch,1,22,478,429,478,17.1
2026-04-20,Monday,Dinner,1,22,478,454,484,10.5
2026-04-21,Tuesday,Breakfast,1,6,494,445,508,22.0
2026-04-21,Tuesday,Lunch,1,6,494,455,482,9.4
2026-04-21,Tuesday,Dinner,1,6,494,460,525,22.8
2026-04-22,Wednesday,Breakfast,0,9,491,408,455,16.4
2026-04-22,Wednesday,Lunch,0,9,491,434,478,15.4
2026-04-22,Wednesday,Dinner,0,9,491,454,487,11.5
2026-04-23,Thursday,Breakfast,0,13,487,407,441,11.9
2026-04-23,Thursday,Lunch,0,13,487,441,502,21.3
2026-04-23,Thursday,Dinner,0,13,487,429,488,20.6
2026-04-24,Friday,Breakfast,0,15,485,409,432,8.0
2026-04-24,Friday,Lunch,0,15,485,429,450,7.3
2026-04-24,Friday,Dinner,0,15,485,429,457,9.8
2026-04-25,Saturday,Breakfast,0,51,449,265,295,10.5
2026-04-25,Saturday,Lunch,0,51,449,330,354,8.4
2026-04-25,Saturday,Dinner,0,51,449,282,305,8.0
2026-04-26,Sunday,Breakfast,0,44,456,277,314,12.9
2026-04-26,Sunday,Lunch,0,44,456,336,355,6.6
2026-04-26,Sunday,Dinner,0,44,456,315,342,9.4
2026-04-27,Monday,Breakfast,0,6,494,396,454,20.3
2026-04-27,Monday,Lunch,0,6,494,443,493,17.5
2026-04-27,Monday,Dinner,0,6,494,442,499,19.9
2026-04-28,Tuesday,Breakfast,0,28,472,387,425,13.3
2026-04-28,Tuesday,Lunch,0,28,472,421,453,11.2
2026-04-28,Tuesday,Dinner,0,28,472,416,437,7.3
2026-04-29,Wednesday,Breakfast,0,5,495,410,469,20.6
2026-04-29,Wednesday,Lunch,0,5,495,434,497,22.0
2026-04-29,Wednesday,Dinner,0,5,495,452,518,23.1
2026-04-30,Thursday,Breakfast,0,9,491,410,446,12.6
2026-04-30,Thursday,Lunch,0,9,491,427,455,9.8
2026-04-30,Thursday,Dinner,0,9,491,450,497,16.4
2026-05-01,Friday,Breakfast,0,13,487,403,446,15.0
2026-05-01,Friday,Lunch,0,13,487,430,494,22.4
2026-05-01,Friday,Dinner,0,13,487,430,457,9.4
2026-05-02,Saturday,Breakfast,0,46,454,263,295,11.2
2026-05-02,Saturday,Lunch,0,46,454,337,365,9.8
2026-05-02,Saturday,Dinner,0,46,454,305,329,8.4
2026-05-03,Sunday,Breakfast,0,43,457,270,306,12.6
2026-05-03,Sunday,Lunch,0,43,457,329,361,11.2
2026-05-03,Sunday,Dinner,0,43,457,305,344,13.6
2026-05-04,Monday,Breakfast,0,19,481,404,456,18.2
2026-05-04,Monday,Lunch,0,19,481,420,456,12.6
2026-05-04,Monday,Dinner,0,19,481,440,466,9.1
2026-05-05,Tuesday,Breakfast,0,9,491,403,441,13.3
2026-05-05,Tuesday,Lunch,0,9,491,414,459,15.7
2026-05-05,Tuesday,Dinner,0,9,491,445,468,8.0
2026-05-06,Wednesday,Breakfast,0,6,494,401,441,14.0
2026-05-06,Wednesday,Lunch,0,6,494,427,474,16.4
2026-05-06,Wednesday,Dinner,0,6,494,451,477,9.1
2026-05-07,Thursday,Breakfast,0,12,488,393,433,14.0
2026-05-07,Thursday,Lunch,0,12,488,443,508,22.8
2026-05-07,Thursday,Dinner,0,12,488,447,492,15.7
2026-05-08,Friday,Breakfast,0,18,482,388,417,10.1
2026-05-08,Friday,Lunch,0,18,482,416,437,7.3
2026-05-08,Friday,Dinner,0,18,482,432,495,22.0
2026-05-09,Saturday,Breakfast,0,43,457,273,297,8.4
2026-05-09,Saturday,Lunch,0,43,457,325,349,8.4
2026-05-09,Saturday,Dinner,0,43,457,293,323,10.5
2026-05-10,Sunday,Breakfast,1,45,455,299,322,8.0
2026-05-10,Sunday,Lunch,1,45,455,371,405,11.9
2026-05-10,Sunday,Dinner,1,45,455,328,352,8.4
2026-05-11,Monday,Breakfast,1,19,481,411,432,7.3
2026-05-11,Monday,Lunch,1,19,481,444,470,9.1
2026-05-11,Monday,Dinner,1,19,481,475,522,16.4
2026-05-12,Tuesday,Breakfast,1,4,496,430,470,14.0
2026-05-12,Tuesday,Lunch,1,4,496,477,531,18.9
2026-05-12,Tuesday,Dinner,1,4,496,456,480,8.4
2026-05-13,Wednesday,Breakfast,1,20,480,403,443,14.0
2026-05-13,Wednesday,Lunch,1,20,480,450,479,10.1
2026-05-13,Wednesday,Dinner,1,20,480,465,491,9.1
2026-05-14,Thursday,Breakfast,1,10,490,426,472,16.1
2026-05-14,Thursday,Lunch,1,10,490,456,496,14.0
2026-05-14,Thursday,Dinner,1,10,490,472,525,18.5
2026-05-15,Friday,Breakfast,1,24,476,394,450,19.6
2026-05-15,Friday,Lunch,1,24,476,447,509,21.7
2026-05-15,Friday,Dinner,1,24,476,451,482,10.8
2026-05-16,Saturday,Breakfast,1,37,463,293,316,8.0
2026-05-16,Saturday,Lunch,1,37,463,350,371,7.3
2026-05-16,Saturday,Dinner,1,37,463,332,371,13.6
2026-05-17,Sunday,Breakfast,1,45,455,289,324,12.2
2026-05-17,Sunday,Lunch,1,45,455,344,367,8.0
2026-05-17,Sunday,Dinner,1,45,455,327,367,14.0
2026-05-18,Monday,Breakfast,1,2,498,421,474,18.5
2026-05-18,Monday,Lunch,1,2,498,468,531,22.0
2026-05-18,Monday,Dinner,1,2,498,471,514,15.0
2026-05-19,Tuesday,Breakfast,1,16,484,429,454,8.8
2026-05-19,Tuesday,Lunch,1,16,484,450,509,20.6
2026-05-19,Tuesday,Dinner,1,16,484,469,507,13.3
2026-05-20,Wednesday,Breakfast,1,10,490,434,456,7.7
2026-05-20,Wednesday,Lunch,1,10,490,458,524,23.1
2026-05-20,Wednesday,Dinner,1,10,490,464,513,17.1
2026-05-21,Thursday,Breakfast,1,7,493,449,484,12.2
2026-05-21,Thursday,Lunch,1,7,493,470,528,20.3
2026-05-21,Thursday,Dinner,1,7,493,456,514,20.3
2026-05-22,Friday,Breakfast,0,7,493,404,446,14.7
2026-05-22,Friday,Lunch,0,7,493,443,480,12.9
2026-05-22,Friday,Dinner,0,7,493,442,469,9.4
2026-05-23,Saturday,Breakfast,0,42,458,260,289,10.1
2026-05-23,Saturday,Lunch,0,42,458,325,367,14.7
2026-05-23,Saturday,Dinner,0,42,458,299,335,12.6
2026-05-24,Sunday,Breakfast,0,46,454,258,295,12.9
2026-05-24,Sunday,Lunch,0,46,454,319,359,14.0
2026-05-24,Sunday,Dinner,0,46,454,292,322,10.5
2026-05-25,Monday,Breakfast,0,17,483,394,418,8.4
2026-05-25,Monday,Lunch,0,17,483,422,462,14.0
2026-05-25,Monday,Dinner,0,17,483,434,458,8.4
2026-05-26,Tuesday,Breakfast,0,19,481,402,445,15.0
2026-05-26,Tuesday,Lunch,0,19,481,422,455,11.5
2026-05-26,Tuesday,Dinner,0,19,481,436,495,20.6
2026-05-27,Wednesday,Breakfast,0,13,487,399,421,7.7
2026-05-27,Wednesday,Lunch,0,13,487,433,477,15.4
2026-05-27,Wednesday,Dinner,0,13,487,438,487,17.1
2026-05-28,Thursday,Breakfast,0,9,491,421,468,16.4
2026-05-28,Thursday,Lunch,0,9,491,440,463,8.0
2026-05-28,Thursday,Dinner,0,9,491,443,477,11.9
2026-05-29,Friday,Breakfast,0,25,475,381,410,10.1
2026-05-29,Friday,Lunch,0,25,475,416,451,12.2
2026-05-29,Friday,Dinner,0,25,475,413,457,15.4
2026-05-30,Saturday,Breakfast,0,28,472,277,313,12.6
2026-05-30,Saturday,Lunch,0,28,472,330,376,16.1
2026-05-30,Saturday,Dinner,0,28,472,311,352,14.3
2026-05-31,Sunday,Breakfast,0,32,468,289,330,14.3
2026-05-31,Sunday,Lunch,0,32,468,336,380,15.4
2026-05-31,Sunday,Dinner,0,32,468,301,345,15.4
2026-06-01,Monday,Breakfast,0,13,487,388,422,11.9
2026-06-01,Monday,Lunch,0,13,487,427,466,13.6
2026-06-01,Monday,Dinner,0,13,487,450,484,11.9
2026-06-02,Tuesday,Breakfast,0,12,488,400,450,17.5
2026-06-02,Tuesday,Lunch,0,12,488,426,452,9.1
2026-06-02,Tuesday,Dinner,0,12,488,423,484,21.3
2026-06-03,Wednesday,Breakfast,0,3,497,412,460,16.8
2026-06-03,Wednesday,Lunch,0,3,497,422,447,8.8
2026-06-03,Wednesday,Dinner,0,3,497,460,513,18.5
2026-06-04,Thursday,Breakfast,0,21,479,393,433,14.0
2026-06-04,Thursday,Lunch,0,21,479,423,467,15.4
2026-06-04,Thursday,Dinner,0,21,479,442,502,21.0
2026-06-05,Friday,Breakfast,0,5,495,403,424,7.3
2026-06-05,Friday,Lunch,0,5,495,442,495,18.5
2026-06-05,Friday,Dinner,0,5,495,459,491,11.2
2026-06-06,Saturday,Breakfast,0,46,454,245,266,7.3
2026-06-06,Saturday,Lunch,0,46,454,335,363,9.8
2026-06-06,Saturday,Dinner,0,46,454,293,322,10.1
2026-06-07,Sunday,Breakfast,0,37,463,281,312,10.8
2026-06-07,Sunday,Lunch,0,37,463,316,346,10.5
2026-06-07,Sunday,Dinner,0,37,463,300,344,15.4
2026-06-08,Monday,Breakfast,0,2,498,407,453,16.1
2026-06-08,Monday,Lunch,0,2,498,437,464,9.4
2026-06-08,Monday,Dinner,0,2,498,447,475,9.8
2026-06-09,Tuesday,Breakfast,0,5,495,410,444,11.9
2026-06-09,Tuesday,Lunch,0,5,495,434,484,17.5
2026-06-09,Tuesday,Dinner,0,5,495,455,485,10.5
2026-06-10,Wednesday,Breakfast,1,8,492,420,448,9.8
2026-06-10,Wednesday,Lunch,1,8,492,443,481,13.3
2026-06-10,Wednesday,Dinner,1,8,492,465,511,16.1
2026-06-11,Thursday,Breakfast,1,11,489,425,480,19.2
2026-06-11,Thursday,Lunch,1,11,489,447,508,21.3
2026-06-11,Thursday,Dinner,1,11,489,466,532,23.1
2026-06-12,Friday,Breakfast,1,11,489,423,478,19.2
2026-06-12,Friday,Lunch,1,11,489,447,478,10.8
